"","Point","Date","Time","X.50m"
"1","A-12","6/6/11","5:01","BLBW"
"2","A-12","6/6/11","5:01","OVEN"
"10","A-12","6/6/11","5:06","BLBW"
"11","A-12","6/6/11","5:06","OVEN"
"17","A-12","6/12/11","6:28","OVEN"
"18","A-12","6/12/11","6:28","WBNU"
"19","A-12","6/12/11","6:28","BLJA"
"20","A-12","6/12/11","6:28","REVI"
"21","A-12","6/12/11","6:33","BLJA"
"22","A-12","6/12/11","6:33","OVEN"
"23","A-12","6/12/11","6:33","BTBW"
"24","A-12","6/12/11","6:33","BLJA"
"25","A-12","6/12/11","6:33","BLBW"
"26","A-12","6/12/11","6:33","OVEN"
"27","A-12","6/12/11","6:33","REVI"
"28","A-12","6/12/11","6:33","WBNU"
"30","A-9","6/6/11","5:17","BTBW"
"31","A-9","6/6/11","5:17","BTBW"
"38","A-9","6/6/11","5:22","BTBW"
"39","A-9","6/6/11","5:22","BLBW"
"40","A-9","6/6/11","5:22","OVEN"
"41","A-9","6/6/11","5:22","BTBW"
"43","A-9","6/12/11","6:45","BTBW"
"44","A-9","6/12/11","6:45","HETH"
"46","A-9","6/12/11","6:50","BTBW"
"47","A-9","6/12/11","6:50","BCCH"
"48","A-9","6/12/11","6:50","BTBW"
"49","A-9","6/12/11","6:50","EWPE"
"51","A-6","6/6/11","5:30","BTBW"
"52","A-6","6/6/11","5:30","OVEN"
"53","A-6","6/6/11","5:30","OVEN"
"56","A-6","6/6/11","5:35","CEWA"
"57","A-6","6/6/11","5:35","OVEN"
"62","A-6","6/12/11","7:00","BLJA"
"63","A-6","6/12/11","7:00","BCCH"
"67","A-6","6/12/11","7:05","REVI"
"68","A-6","6/12/11","7:05","BCCH"
"71","A-3","6/6/11","5:45","BTBW"
"72","A-3","6/6/11","5:45","OVEN"
"78","A-3","6/12/11","7:15","BCCH"
"79","A-3","6/12/11","7:15","BTBW"
"80","A-3","6/12/11","7:15","BTNW"
"81","A-3","6/12/11","7:15","BTBW"
"82","A-3","6/12/11","7:15","BTNW"
"83","A-3","6/12/11","7:15","REVI"
"84","A-3","6/12/11","7:15","BCCH"
"85","A-3","6/12/11","7:20","BTBW"
"86","A-3","6/12/11","7:20","BLBW"
"87","A-3","6/12/11","7:20","BTBW"
"88","A-3","6/12/11","7:20","BTNW"
"89","A-3","6/12/11","7:20","BTBW"
"90","A-12","6/6/11","5:01","AMCR"
"91","A-12","6/6/11","5:01","YBSA"
"92","A-12","6/6/11","5:01","MODO"
"93","A-12","6/6/11","5:01","AMRO"
"94","A-12","6/6/11","5:01","WBNU"
"95","A-12","6/6/11","5:01","HETH"
"96","A-12","6/6/11","5:01","OVEN"
"97","A-12","6/6/11","5:01","BTBW"
"98","A-12","6/6/11","5:01","REVI"
"99","A-12","6/6/11","5:06","AMCR"
"100","A-12","6/6/11","5:06","MODO"
"101","A-12","6/6/11","5:06","AMCR"
"102","A-12","6/6/11","5:06","OVEN"
"103","A-12","6/6/11","5:06","BTBW"
"104","A-12","6/6/11","5:06","HETH"
"105","A-12","6/6/11","5:06","CORA"
"106","A-12","6/12/11","6:28","REVI"
"107","A-12","6/12/11","6:28","HETH"
"108","A-12","6/12/11","6:28","OVEN"
"110","A-12","6/12/11","6:33","OVEN"
"111","A-12","6/12/11","6:33","HETH"
"112","A-12","6/12/11","6:33","BTBW"
"119","A-9","6/6/11","5:17","AMCR"
"120","A-9","6/6/11","5:17","BLBW"
"121","A-9","6/6/11","5:17","BLJA"
"122","A-9","6/6/11","5:17","CORA"
"123","A-9","6/6/11","5:17","CORA"
"124","A-9","6/6/11","5:17","CORA"
"125","A-9","6/6/11","5:17","CORA"
"126","A-9","6/6/11","5:17","MODO"
"127","A-9","6/6/11","5:22","OVEN"
"128","A-9","6/6/11","5:22","OVEN"
"129","A-9","6/6/11","5:22","OVEN"
"130","A-9","6/6/11","5:22","OVEN"
"131","A-9","6/6/11","5:22","REVI"
"132","A-9","6/12/11","6:45","REVI"
"133","A-9","6/12/11","6:45","REVI"
"134","A-9","6/12/11","6:45","REVI"
"135","A-9","6/12/11","6:50","REVI"
"136","A-9","6/12/11","6:50","YBSA"
"140","A-6","6/6/11","5:30","OVEN"
"141","A-6","6/6/11","5:30","REVI"
"142","A-6","6/6/11","5:30","HAWO"
"143","A-6","6/6/11","5:30","CORA"
"144","A-6","6/6/11","5:30","REVI"
"145","A-6","6/6/11","5:35","OVEN"
"146","A-6","6/6/11","5:35","REVI"
"147","A-6","6/6/11","5:35","BTBW"
"148","A-6","6/6/11","5:35","HAWO"
"149","A-6","6/6/11","5:35","REVI"
"150","A-6","6/6/11","5:35","OVEN"
"151","A-6","6/12/11","7:00","BLJA"
"152","A-6","6/12/11","7:00","REVI"
"153","A-6","6/12/11","7:00","REVI"
"154","A-6","6/12/11","7:00","BHVI"
"155","A-6","6/12/11","7:00","BLBW"
"156","A-6","6/12/11","7:05","BLJA"
"157","A-6","6/12/11","7:05","REVI"
"158","A-6","6/12/11","7:05","BLJA"
"160","A-3","6/6/11","5:45","REVI"
"161","A-3","6/6/11","5:45","REVI"
"162","A-3","6/6/11","5:50","REVI"
"163","A-3","6/6/11","5:50","HAWO"
"164","A-3","6/6/11","5:50","REVI"
"165","A-3","6/6/11","5:50","OVEN"
"166","A-3","6/6/11","5:50","HETH"
"167","A-3","6/12/11","7:15","BLBW"
"168","A-3","6/12/11","7:15","BCCH"
"169","A-3","6/12/11","7:15","BLJA"
"174","A-3","6/12/11","7:20","REVi"
