"","Point","Date","Time","<50m",">50m"
"1","A-12","6/6/11","5:01","BLBW","AMCR"
"2","A-12","6/6/11","5:01","OVEN","YBSA"
"3","A-12","6/6/11","5:01","","MODO"
"4","A-12","6/6/11","5:01","","AMRO"
"5","A-12","6/6/11","5:01","","WBNU"
"6","A-12","6/6/11","5:01","","HETH"
"7","A-12","6/6/11","5:01","","OVEN"
"8","A-12","6/6/11","5:01","","BTBW"
"9","A-12","6/6/11","5:01","","REVI"
"10","A-12","6/6/11","5:06","BLBW","AMCR"
"11","A-12","6/6/11","5:06","OVEN","MODO"
"12","A-12","6/6/11","5:06","","AMCR"
"13","A-12","6/6/11","5:06","","OVEN"
"14","A-12","6/6/11","5:06","","BTBW"
"15","A-12","6/6/11","5:06","","HETH"
"16","A-12","6/6/11","5:06","","CORA"
"17","A-12","6/12/11","6:28","OVEN","REVI"
"18","A-12","6/12/11","6:28","WBNU","HETH"
"19","A-12","6/12/11","6:28","BLJA","OVEN"
"20","A-12","6/12/11","6:28","REVI",""
"21","A-12","6/12/11","6:33","BLJA","OVEN"
"22","A-12","6/12/11","6:33","OVEN","HETH"
"23","A-12","6/12/11","6:33","BTBW","BTBW"
"24","A-12","6/12/11","6:33","BLJA",""
"25","A-12","6/12/11","6:33","BLBW",""
"26","A-12","6/12/11","6:33","OVEN",""
"27","A-12","6/12/11","6:33","REVI",""
"28","A-12","6/12/11","6:33","WBNU",""
"29","A-12","6/12/11","6:33","",""
"30","A-9","6/6/11","5:17","BTBW","AMCR"
"31","A-9","6/6/11","5:17","BTBW","BLBW"
"32","A-9","6/6/11","5:17","","BLJA"
"33","A-9","6/6/11","5:17","","CORA"
"34","A-9","6/6/11","5:17","","CORA"
"35","A-9","6/6/11","5:17","","CORA"
"36","A-9","6/6/11","5:17","","CORA"
"37","A-9","6/6/11","5:17","","MODO"
"38","A-9","6/6/11","5:22","BTBW","OVEN"
"39","A-9","6/6/11","5:22","BLBW","OVEN"
"40","A-9","6/6/11","5:22","OVEN","OVEN"
"41","A-9","6/6/11","5:22","BTBW","OVEN"
"42","A-9","6/6/11","5:22","","REVI"
"43","A-9","6/12/11","6:45","BTBW","REVI"
"44","A-9","6/12/11","6:45","HETH","REVI"
"45","A-9","6/12/11","6:45","","REVI"
"46","A-9","6/12/11","6:50","BTBW","REVI"
"47","A-9","6/12/11","6:50","BCCH","YBSA"
"48","A-9","6/12/11","6:50","BTBW",""
"49","A-9","6/12/11","6:50","EWPE",""
"50","A-9","6/12/11","6:50","",""
"51","A-6","6/6/11","5:30","BTBW","OVEN"
"52","A-6","6/6/11","5:30","OVEN","REVI"
"53","A-6","6/6/11","5:30","OVEN","HAWO"
"54","A-6","6/6/11","5:30","","CORA"
"55","A-6","6/6/11","5:30","","REVI"
"56","A-6","6/6/11","5:35","CEWA","OVEN"
"57","A-6","6/6/11","5:35","OVEN","REVI"
"58","A-6","6/6/11","5:35","","BTBW"
"59","A-6","6/6/11","5:35","","HAWO"
"60","A-6","6/6/11","5:35","","REVI"
"61","A-6","6/6/11","5:35","","OVEN"
"62","A-6","6/12/11","7:00","BLJA","BLJA"
"63","A-6","6/12/11","7:00","BCCH","REVI"
"64","A-6","6/12/11","7:00","","REVI"
"65","A-6","6/12/11","7:00","","BHVI"
"66","A-6","6/12/11","7:00","","BLBW"
"67","A-6","6/12/11","7:05","REVI","BLJA"
"68","A-6","6/12/11","7:05","BCCH","REVI"
"69","A-6","6/12/11","7:05","","BLJA"
"70","A-6","6/12/11","7:05","",""
"71","A-3","6/6/11","5:45","BTBW","REVI"
"72","A-3","6/6/11","5:45","OVEN","REVI"
"73","A-3","6/6/11","5:50","","REVI"
"74","A-3","6/6/11","5:50","","HAWO"
"75","A-3","6/6/11","5:50","","REVI"
"76","A-3","6/6/11","5:50","","OVEN"
"77","A-3","6/6/11","5:50","","HETH"
"78","A-3","6/12/11","7:15","BCCH","BLBW"
"79","A-3","6/12/11","7:15","BTBW","BCCH"
"80","A-3","6/12/11","7:15","BTNW","BLJA"
"81","A-3","6/12/11","7:15","BTBW",""
"82","A-3","6/12/11","7:15","BTNW",""
"83","A-3","6/12/11","7:15","REVI",""
"84","A-3","6/12/11","7:15","BCCH",""
"85","A-3","6/12/11","7:20","BTBW","REVi"
"86","A-3","6/12/11","7:20","BLBW",""
"87","A-3","6/12/11","7:20","BTBW",""
"88","A-3","6/12/11","7:20","BTNW",""
"89","A-3","6/12/11","7:20","BTBW",""
